web-scraper-order,web-scraper-start-url,Occupations,Occupations-href
"1589579748-655","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Inspectors, testers, sorters, samplers, & weighersDetailed Occupation","https://datausa.io/profile/soc/inspectors-testers-sorters-samplers-weighers"
"1589579748-635","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Food preparation workersDetailed Occupation","https://datausa.io/profile/soc/food-preparation-workers"
"1589579748-658","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","CounselorsDetailed Occupation","https://datausa.io/profile/soc/counselors"
"1589579748-680","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Shipping, receiving, & traffic clerksDetailed Occupation","https://datausa.io/profile/soc/shipping-receiving-traffic-clerks"
"1589579748-620","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Accountants & auditorsDetailed Occupation","https://datausa.io/profile/soc/accountants-auditors"
"1589579748-701","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Miscellaneous food preparation & serving related workers, including dining room & cafeteria attendants & bartender helpersDetailed Occupation","https://datausa.io/profile/soc/miscellaneous-food-preparation-serving-related-workers-including-dining-room-cafeteria-attendants-bartender-helpers"
"1589579748-651","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","General & operations managersDetailed Occupation","https://datausa.io/profile/soc/general-operations-managers"
"1589579748-606","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","CashiersDetailed Occupation","https://datausa.io/profile/soc/cashiers"
"1589579748-605","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Miscellaneous managersDetailed Occupation","https://datausa.io/profile/soc/miscellaneous-managers"
"1589579748-613","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Customer service representativesDetailed Occupation","https://datausa.io/profile/soc/customer-service-representatives"
"1589579748-664","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Secondary school teachersDetailed Occupation","https://datausa.io/profile/soc/secondary-school-teachers"
"1589579748-679","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Packers & packagers, handDetailed Occupation","https://datausa.io/profile/soc/packers-packagers-hand"
"1589579748-681","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Computer & information systems managersDetailed Occupation","https://datausa.io/profile/soc/computer-information-systems-managers"
"1589579748-630","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Sales representatives, wholesale & manufacturingDetailed Occupation","https://datausa.io/profile/soc/sales-representatives-wholesale-manufacturing"
"1589579748-631","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Receptionists & information clerksDetailed Occupation","https://datausa.io/profile/soc/receptionists-information-clerks"
"1589579748-702","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Paralegals & legal assistantsDetailed Occupation","https://datausa.io/profile/soc/paralegals-legal-assistants"
"1589579748-700","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Computer programmersDetailed Occupation","https://datausa.io/profile/soc/computer-programmers"
"1589579748-607","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Elementary & middle school teachersDetailed Occupation","https://datausa.io/profile/soc/elementary-middle-school-teachers"
"1589579748-643","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Other teachers & instructorsDetailed Occupation","https://datausa.io/profile/soc/other-teachers-instructors"
"1589579748-617","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Waiters & waitressesDetailed Occupation","https://datausa.io/profile/soc/waiters-waitresses"
"1589579748-665","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Police officersDetailed Occupation","https://datausa.io/profile/soc/police-officers"
"1589579748-610","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Secretaries & administrative assistantsDetailed Occupation","https://datausa.io/profile/soc/secretaries-administrative-assistants"
"1589579748-608","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","Retail salespersonsDetailed Occupation","https://datausa.io/profile/soc/retail-salespersons"
"1589579748-695","https://datausa.io/search?q=&dimension=PUMS%20Occupation&hierarchy=Detailed%20Occupation","ClergyDetailed Occupation","https://datausa.io/profile/soc/clergy"
