web-scraper-order,web-scraper-start-url,Industries,Industries-href
"1589579709-560","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Postal ServiceIndustry Group","https://datausa.io/profile/naics/postal-service"
"1589579709-522","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Offices of physiciansIndustry Group","https://datausa.io/profile/naics/offices-of-physicians"
"1589579709-538","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Religious organizationsIndustry Group","https://datausa.io/profile/naics/religious-organizations"
"1589579709-601","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Veterinary servicesIndustry Group","https://datausa.io/profile/naics/veterinary-services"
"1589579709-549","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Offices of dentistsIndustry Group","https://datausa.io/profile/naics/offices-of-dentists"
"1589579709-600","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Specialized design servicesIndustry Group","https://datausa.io/profile/naics/specialized-design-services"
"1589579709-548","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Performing arts, spectator sports & related industriesIndustry Group","https://datausa.io/profile/naics/performing-arts-spectator-sports-related-industries"
"1589579709-565","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Scientific research & development servicesIndustry Group","https://datausa.io/profile/naics/scientific-research-development-services"
"1589579709-581","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Motion pictures & video industriesIndustry Group","https://datausa.io/profile/naics/motion-pictures-video-industries"
"1589579709-567","https://datausa.io/search?q=&dimension=PUMS%20Industry&hierarchy=Industry%20Group","Not specified retail tradeIndustry Group","https://datausa.io/profile/naics/not-specified-retail-trade"
